 S   0.70,  0.70, -0.15, -0.13,  0.00,  0.00,  0.02,  0.00,  0.00
 S   0.04,  0.04,  0.28,  0.26,  0.00,  0.00, -0.04,  0.00,  0.00
PX  -0.00, -0.00, -0.00,  0.00,  0.00, -0.00,  0.00,  0.00,  0.00
PY  -0.00, -0.00, -0.00,  0.00,  0.32,  0.00,  0.00,  0.31, -0.00
PZ   0.00,  0.00, -0.00, -0.00, -0.00,  0.00, -0.00,  0.00, -0.00
 S  -0.01, -0.01,  0.24,  0.26,  0.00,  0.00, -0.05,  0.00,  0.00
PX  -0.00, -0.00,  0.00,  0.00, -0.00,  0.00,  0.00,  0.00,  0.00
PY   0.00, -0.00,  0.00, -0.00,  0.14,  0.00,  0.00,  0.15, -0.00
PZ  -0.00,  0.00, -0.00, -0.00, -0.00,  0.00, -0.00, -0.00, -0.00
XX   0.00, -0.00, -0.00,  0.00,  0.00, -0.00, -0.00, -0.00, -0.00
YY  -0.01, -0.01, -0.00,  0.01,  0.01, -0.00,  0.01,  0.01,  0.00
ZZ   0.00, -0.00,  0.00, -0.00,  0.00,  0.00, -0.00,  0.00, -0.00
XY  -0.00, -0.00, -0.00, -0.00, -0.00,  0.00, -0.00, -0.00,  0.00
XZ  -0.00,  0.00, -0.00,  0.00,  0.00,  0.00,  0.00,  0.00, -0.00
YZ   0.00,  0.00, -0.00,  0.00, -0.00, -0.00,  0.00, -0.00,  0.00
 S   0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
 S   0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
 S   0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
 S   0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
 S   0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
 S   0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
 S   0.70, -0.70, -0.15,  0.13,  0.00,  0.00,  0.02,  0.00,  0.00
 S   0.04, -0.04,  0.28, -0.26,  0.00,  0.00, -0.04,  0.00,  0.00
PX   0.00, -0.00, -0.00,  0.00, -0.00,  0.00, -0.00, -0.00,  0.00
PY  -0.00,  0.00, -0.00, -0.00,  0.32, -0.00, -0.00, -0.31, -0.00
PZ  -0.00, -0.00, -0.00,  0.00, -0.00,  0.00, -0.00,  0.00, -0.00
 S  -0.01,  0.01,  0.24, -0.26,  0.00,  0.00, -0.05,  0.00,  0.00
PX   0.00,  0.00,  0.00,  0.00, -0.00,  0.00, -0.00, -0.00, -0.00
PY   0.00,  0.00,  0.00, -0.00,  0.14, -0.00,  0.00, -0.15,  0.00
PZ  -0.00,  0.00,  0.00, -0.00,  0.00,  0.00,  0.00, -0.00, -0.00
XX   0.00, -0.00,  0.00,  0.00,  0.00,  0.00, -0.00,  0.00, -0.00
YY  -0.01,  0.01, -0.00, -0.01, -0.01,  0.00,  0.01,  0.01, -0.00
ZZ  -0.00, -0.00,  0.00, -0.00, -0.00,  0.00, -0.00, -0.00,  0.00
XY  -0.00, -0.00, -0.00, -0.00, -0.00,  0.00, -0.00, -0.00, -0.00
XZ  -0.00, -0.00,  0.00, -0.00, -0.00, -0.00,  0.00,  0.00,  0.00
YZ   0.00, -0.00, -0.00,  0.00,  0.00, -0.00,  0.00,  0.00,  0.00
 S   0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
 S   0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
 S   0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
 S   0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
 S   0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
 S   0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
