PX   -0.0002,  0.0004, -0.0001,  0.0011, -0.0002, -0.0037, -0.0031,  0.0014,  0.0061,  0.0283, -0.0008,  0.0295, -0.0169,  0.0231,  0.0332,  0.0248, -0.0000, -0.0014,  0.0312, -0.0000, -0.0000
PY   -0.0003,  0.0007, -0.0001,  0.0019, -0.0004, -0.0063, -0.0053,  0.0025,  0.0105,  0.0490, -0.0013,  0.0511, -0.0292,  0.0401,  0.0574,  0.0430, -0.0000, -0.0025,  0.0541, -0.0000, -0.0000
PZ    0.0000, -0.0000,  0.0000, -0.0000,  0.0000,  0.0000,  0.0000, -0.0000, -0.0000,  0.0000,  0.0000,  0.0000,  0.0000, -0.0000,  0.0000, -0.0000,  0.0000, -0.0000, -0.0000, -0.0000,  0.0000
XX   -0.0010, -0.0007, -0.0012, -0.0011,  0.0007,  0.0009,  0.0008,  0.0013, -0.0015, -0.0007, -0.0016,  0.0003, -0.0014, -0.0007,  0.0005,  0.0032,  0.0000, -0.0041, -0.0001,  0.0000,  0.0000
YY   -0.0030, -0.0020, -0.0036, -0.0034,  0.0020,  0.0026,  0.0023,  0.0040, -0.0046, -0.0022, -0.0047,  0.0008, -0.0042, -0.0022,  0.0014,  0.0096,  0.0000, -0.0123, -0.0004,  0.0000,  0.0000
ZZ    0.0000,  0.0000,  0.0000,  0.0000,  0.0000, -0.0000, -0.0000, -0.0000,  0.0000,  0.0000, -0.0000,  0.0000, -0.0000,  0.0000, -0.0000,  0.0000,  0.0000, -0.0000,  0.0000, -0.0000,  0.0000
XY   -0.0020, -0.0014, -0.0024, -0.0022,  0.0013,  0.0017,  0.0015,  0.0027, -0.0031, -0.0015, -0.0032,  0.0006, -0.0028, -0.0014,  0.0009,  0.0064,  0.0000, -0.0082, -0.0003,  0.0000,  0.0000
XZ    0.0000,  0.0000,  0.0000,  0.0000, -0.0000,  0.0000,  0.0000,  0.0000, -0.0000, -0.0000,  0.0000,  0.0000,  0.0000, -0.0000,  0.0000, -0.0000, -0.0041,  0.0000,  0.0000,  0.0052, -0.0133
YZ   -0.0000, -0.0000, -0.0000, -0.0000, -0.0000,  0.0000, -0.0000,  0.0000, -0.0000,  0.0000,  0.0000, -0.0000,  0.0000,  0.0000,  0.0000, -0.0000,  0.0024,  0.0000, -0.0000, -0.0030,  0.0077
S     0.4051, -0.2865,  0.4963, -0.4965, -0.2867,  0.4056, -0.0941, -0.1133,  0.0654,  0.0887,  0.0512, -0.0086, -0.0592,  0.0000,  0.0205, -0.0118,  0.0000,  0.0044,  0.0025,  0.0000,  0.0000
